file_name,time_ms,channel,cluster,peak_amplitude,waveform_length
001.csv,4402.55,1,-1,0.0163140419318695,3.5
001.csv,19851.95,8,-1,0.0201112758298046,3.5
001.csv,32337.85,8,-1,0.0180720205883209,3.5
001.csv,32338.4,8,-1,0.0236272331427075,3.5
001.csv,32346.75,8,-1,0.0192674460747079,3.5
001.csv,32347.3,8,-1,0.0303778711834811,3.5
001.csv,32358.5,8,-1,0.0183532971733531,3.5
001.csv,32359.05,8,-1,0.0274947861869007,3.5
001.csv,32359.7,8,-1,0.0167359568094178,3.5
001.csv,32360.25,8,-1,0.0252445735066428,3.5
001.csv,32528.8,8,-1,0.0172985099794823,3.5
001.csv,49178.5,8,-1,0.0168765951019339,3.5
001.csv,49188.95,8,-1,0.0167359568094178,3.5
001.csv,3059.3,9,-1,0.0161030844930953,3.5
001.csv,28143.7,12,-1,0.0163843610781275,3.5
001.csv,49108.6,19,-1,0.0172281908332242,3.5
001.csv,34981.5,20,-1,0.0168062759556759,3.5
001.csv,41502.3,23,-1,0.0204628715610949,3.5
001.csv,39612.1,27,-1,0.015751488761805,3.5
001.csv,35420.95,28,-1,0.0164546802243856,3.5
001.csv,36354.9,28,-1,0.0163140419318695,3.5
001.csv,33917.3,29,-1,0.016946914248192,3.5
001.csv,53827.7,31,-1,0.0162437227856114,3.5
001.csv,19758.35,34,-1,0.0149779781529664,3.5
001.csv,19760.85,34,-1,0.0179313822958048,3.5
001.csv,19764.5,34,-1,0.0156108504692889,3.5
001.csv,19808.35,34,-1,0.0174391482719984,3.5
001.csv,32261.65,34,-1,0.0146967015679341,3.5
001.csv,32265.35,34,-1,0.0151889355917405,3.5
001.csv,32266.0,34,-1,0.0171578716869662,3.5
001.csv,49095.55,34,-1,0.0163843610781275,3.5
001.csv,35983.4,35,-1,0.0158218079080631,3.5
001.csv,19816.4,36,-1,0.0158218079080631,3.5
001.csv,19291.8,37,-1,0.0153998930305147,3.5
001.csv,21167.3,39,-1,0.0144154249829019,3.5
001.csv,43882.3,39,-1,0.0141341483978697,3.5
001.csv,24244.0,42,-1,0.0175094674182565,3.5
001.csv,49097.5,42,-1,0.0182829780270951,3.5
001.csv,43285.4,45,-1,0.0152592547379986,3.5
001.csv,32380.1,46,-1,0.0183532971733531,3.5
001.csv,32380.9,46,-1,0.0168765951019339,3.5
001.csv,32381.5,46,-1,0.0172985099794823,3.5
001.csv,32382.05,46,-1,0.0172281908332242,3.5
001.csv,32382.85,46,-1,0.0198299992447724,3.5
001.csv,32383.55,46,-1,0.0170875525407081,3.5
001.csv,32384.15,46,-1,0.0175797865645145,3.5
001.csv,32384.8,46,-1,0.0190564886359337,3.5
001.csv,32385.35,46,-1,0.019408084367224,3.5
001.csv,32385.9,46,-1,0.0168765951019339,3.5
001.csv,32386.55,46,-1,0.0167359568094178,3.5
001.csv,32387.1,46,-1,0.0178610631495467,3.5
001.csv,32387.65,46,-1,0.0219395736325141,3.5
001.csv,32388.2,46,-1,0.0220802119250302,3.5
001.csv,32388.75,46,-1,0.0206738289998691,3.5
001.csv,32389.3,46,-1,0.027916701064449,3.5
001.csv,32389.85,46,-1,0.0188455311971596,3.5
001.csv,32390.4,46,-1,0.0285495733807716,3.5
001.csv,32390.95,46,-1,0.020603509853611,3.5
001.csv,32391.5,46,-1,0.0257368075304492,3.5
001.csv,32392.05,46,-1,0.0293934031358683,3.5
001.csv,32392.6,46,-1,0.0265103181392879,3.5
001.csv,32393.15,46,-1,0.0280573393569652,3.5
001.csv,32393.7,46,-1,0.0241194671665139,3.5
001.csv,32394.25,46,-1,0.0226427650950947,3.5
001.csv,32394.8,46,-1,0.0239788288739978,3.5
001.csv,32395.35,46,-1,0.0279870202107071,3.5
001.csv,32395.9,46,-1,0.0277057436256749,3.5
001.csv,32396.45,46,-1,0.0319952115474164,3.5
001.csv,32397.0,46,-1,0.0310810626460617,3.5
001.csv,32397.55,46,-1,0.0310107434998036,3.5
001.csv,32398.1,46,-1,0.030307552037223,3.5
001.csv,32398.65,46,-1,0.0305888286222552,3.5
001.csv,32399.2,46,-1,0.0286198925270296,3.5
001.csv,32399.75,46,-1,0.0325577647174809,3.5
001.csv,32400.3,46,-1,0.030307552037223,3.5
001.csv,32400.85,46,-1,0.0335422327650937,3.5
001.csv,32401.4,46,-1,0.0284089350882554,3.5
001.csv,32401.95,46,-1,0.03150297752361,3.5
001.csv,32402.5,46,-1,0.0318545732549003,3.5
001.csv,32403.05,46,-1,0.0268619138705782,3.5
001.csv,32403.6,46,-1,0.0307294669147714,3.5
001.csv,32404.15,46,-1,0.0306591477685133,3.5
001.csv,32404.7,46,-1,0.0329796795950292,3.5
001.csv,32405.25,46,-1,0.0286198925270296,3.5
001.csv,32405.8,46,-1,0.0321358498399325,3.5
001.csv,32406.35,46,-1,0.0291824456970941,3.5
001.csv,32406.9,46,-1,0.0349486156902548,3.5
001.csv,32407.45,46,-1,0.0395193601970286,3.5
001.csv,32408.0,46,-1,0.0367065943467063,3.5
001.csv,32408.55,46,-1,0.032698403009997,3.5
001.csv,32409.1,46,-1,0.029112126550836,3.5
001.csv,32409.65,46,-1,0.029041807404578,3.5
001.csv,32410.2,46,-1,0.0311513817923197,3.5
001.csv,32410.75,46,-1,0.0293934031358683,3.5
001.csv,32411.3,46,-1,0.0316436158161261,3.5
001.csv,32411.85,46,-1,0.0332609561800615,3.5
001.csv,32412.4,46,-1,0.0336828710576098,3.5
001.csv,32412.95,46,-1,0.0281276585032232,3.5
001.csv,32413.5,46,-1,0.030237232890965,3.5
001.csv,32414.05,46,-1,0.0300262754521908,3.5
001.csv,32414.6,46,-1,0.0263696798467718,3.5
001.csv,32415.15,46,-1,0.0280573393569652,3.5
001.csv,32415.7,46,-1,0.029041807404578,3.5
001.csv,32416.25,46,-1,0.0288308499658038,3.5
001.csv,32416.8,46,-1,0.0277760627719329,3.5
001.csv,32417.35,46,-1,0.0336828710576098,3.5
001.csv,32417.9,46,-1,0.0366362752004482,3.5
001.csv,32418.45,46,-1,0.0364253177616741,3.5
001.csv,32419.0,46,-1,0.0391677644657383,3.5
001.csv,32419.55,46,-1,0.0370581900779966,3.5
001.csv,32420.1,46,-1,0.0370581900779966,3.5
001.csv,32420.65,46,-1,0.0326280838637389,3.5
001.csv,32421.2,46,-1,0.0358627645916096,3.5
001.csv,32421.75,46,-1,0.025385211799159,3.5
001.csv,32422.3,46,-1,0.0334015944725776,3.5
001.csv,32422.85,46,-1,0.0319248924011583,3.5
001.csv,32423.4,46,-1,0.0286902116732877,3.5
001.csv,32423.95,46,-1,0.0331906370338034,3.5
001.csv,32424.5,46,-1,0.0332609561800615,3.5
001.csv,32425.05,46,-1,0.0355111688603193,3.5
001.csv,32425.6,46,-1,0.033893828496384,3.5
