timestamp,file_num,filename,event_id,start_time,end_time,trigger_time,channel,grid_row,grid_col,time_proportion,active_channels
20250818-165900,20,020.csv,1,6624.05,6724.0,6683.0,14,2,7,0.5895,2
20250818-165900,20,020.csv,1,6624.05,6724.0,6624.05,16,3,1,0.0,2
20250818-165900,20,020.csv,2,19019.5,19119.45,19019.5,31,4,8,0.0,2
20250818-165900,20,020.csv,2,19019.5,19119.45,19019.6,39,5,8,0.001,2
20250818-165900,20,020.csv,3,27438.1,27538.05,27438.1,31,4,8,0.0,2
20250818-165900,20,020.csv,3,27438.1,27538.05,27438.15,39,5,8,0.0005,2
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.85,0,1,1,0.5765,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.75,2,1,3,0.5755,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28141.95,3,1,4,0.5275,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.25,4,1,5,0.5705,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.2,5,1,6,0.57,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28148.2,6,1,7,0.59,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.8,7,1,8,0.576,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28144.5,9,2,2,0.553,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28144.65,10,2,3,0.5545,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28144.8,12,2,5,0.556,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28149.0,13,2,6,0.598,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28147.4,14,2,7,0.582,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.35,19,3,4,0.5715,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28144.55,20,3,5,0.5535,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.0,21,3,6,0.568,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28141.25,22,3,7,0.5205,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28141.25,23,3,8,0.5205,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28147.45,24,4,1,0.5825,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.15,25,4,2,0.5695,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28141.25,26,4,3,0.5205,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28141.25,27,4,4,0.5205,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.75,28,4,5,0.5755,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.8,29,4,6,0.576,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28089.2,31,4,8,0.0,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28144.6,32,5,1,0.554,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28144.45,34,5,3,0.5525,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.65,35,5,4,0.5745,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28148.8,36,5,5,0.596,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.75,37,5,6,0.5755,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28089.3,39,5,8,0.001,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.35,40,6,1,0.5715,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.85,41,6,2,0.5765,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28144.6,42,6,3,0.554,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28147.4,43,6,4,0.582,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28141.35,45,6,6,0.5215,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.8,46,6,7,0.576,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.05,50,7,3,0.5685,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.4,52,7,5,0.572,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28148.95,53,7,6,0.5975,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.7,55,7,8,0.575,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28144.5,58,8,3,0.553,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28148.4,59,8,4,0.592,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28145.75,60,8,5,0.5655,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28144.7,61,8,6,0.555,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28146.15,62,8,7,0.5695,46
20250818-165900,20,020.csv,4,28089.2,28189.15,28148.95,63,8,8,0.5975,46
20250818-165900,20,020.csv,5,39973.1,40073.05,39983.3,36,5,5,0.102,3
20250818-165900,20,020.csv,5,39973.1,40073.05,39973.1,38,5,7,0.0,3
20250818-165900,20,020.csv,5,39973.1,40073.05,39973.1,39,5,8,0.0,3
20250818-165900,20,020.csv,6,43423.4,43523.35,43450.35,31,4,8,0.2695,2
20250818-165900,20,020.csv,6,43423.4,43523.35,43423.4,38,5,7,0.0,2
20250818-165900,20,020.csv,7,47208.25,47308.2,47208.4,22,3,7,0.0015,6
20250818-165900,20,020.csv,7,47208.25,47308.2,47208.35,30,4,7,0.001,6
20250818-165900,20,020.csv,7,47208.25,47308.2,47208.3,31,4,8,0.0005,6
20250818-165900,20,020.csv,7,47208.25,47308.2,47208.25,38,5,7,0.0,6
20250818-165900,20,020.csv,7,47208.25,47308.2,47208.3,39,5,8,0.0005,6
20250818-165900,20,020.csv,7,47208.25,47308.2,47208.4,47,6,8,0.0015,6
20250818-165900,20,020.csv,8,49215.1,49315.05,49215.1,32,5,1,0.0,2
20250818-165900,20,020.csv,8,49215.1,49315.05,49294.4,41,6,2,0.793,2
20250818-165900,20,020.csv,9,53145.2,53245.15,53162.0,30,4,7,0.168,5
20250818-165900,20,020.csv,9,53145.2,53245.15,53145.2,31,4,8,0.0,5
20250818-165900,20,020.csv,9,53145.2,53245.15,53145.25,38,5,7,0.0005,5
20250818-165900,20,020.csv,9,53145.2,53245.15,53145.25,39,5,8,0.0005,5
20250818-165900,20,020.csv,9,53145.2,53245.15,53162.1,47,6,8,0.169,5
20250818-165900,20,020.csv,10,55329.9,55429.85,55331.8,1,1,2,0.019,16
