timestamp,file_num,filename,event_id,start_time,end_time,trigger_time,channel,grid_row,grid_col,time_proportion,active_channels
20250818-165900,25,025.csv,1,14349.05,14449.0,14404.25,31,4,8,0.552,2
20250818-165900,25,025.csv,1,14349.05,14449.0,14349.05,39,5,8,0.0,2
20250818-165900,25,025.csv,2,16071.0,16170.95,16072.3,31,4,8,0.013,3
20250818-165900,25,025.csv,2,16071.0,16170.95,16072.2,39,5,8,0.012,3
20250818-165900,25,025.csv,2,16071.0,16170.95,16071.0,47,6,8,0.0,3
20250818-165900,25,025.csv,3,17843.8,17943.75,17845.9,30,4,7,0.021,5
20250818-165900,25,025.csv,3,17843.8,17943.75,17843.85,31,4,8,0.0005,5
20250818-165900,25,025.csv,3,17843.8,17943.75,17843.8,38,5,7,0.0,5
20250818-165900,25,025.csv,3,17843.8,17943.75,17844.95,39,5,8,0.0115,5
20250818-165900,25,025.csv,3,17843.8,17943.75,17845.95,47,6,8,0.0215,5
20250818-165900,25,025.csv,4,19505.9,19605.85,19505.9,38,5,7,0.0,2
20250818-165900,25,025.csv,4,19505.9,19605.85,19505.9,39,5,8,0.0,2
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.5,0,1,1,0.038,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25019.2,1,1,2,0.045,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.9,2,1,3,0.042,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.75,3,1,4,0.0105,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.2,4,1,5,0.035,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.2,5,1,6,0.035,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.95,6,1,7,0.0425,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25019.3,7,1,8,0.046,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25019.4,8,2,1,0.047,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.15,9,2,2,0.0345,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.4,10,2,3,0.007,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.15,11,2,4,0.0345,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.2,12,2,5,0.035,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.6,14,2,7,0.039,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.4,19,3,4,0.007,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25017.85,20,3,5,0.0315,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.65,21,3,6,0.0095,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.35,22,3,7,0.0065,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.75,23,3,8,0.0405,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25017.1,24,4,1,0.024,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.25,25,4,2,0.0055,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.1,26,4,3,0.004,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25014.7,27,4,4,0.0,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.85,28,4,5,0.0115,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.65,29,4,6,0.0095,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.85,30,4,7,0.0415,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25019.0,31,4,8,0.043,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.15,32,5,1,0.0045,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.5,33,5,2,0.008,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.55,34,5,3,0.0085,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.9,35,5,4,0.012,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.4,36,5,5,0.037,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25017.85,37,5,6,0.0315,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.4,38,5,7,0.037,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.2,39,5,8,0.035,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.45,40,6,1,0.0075,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.95,41,6,2,0.0425,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.8,42,6,3,0.011,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.0,43,6,4,0.033,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.35,44,6,5,0.0065,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25017.1,45,6,6,0.024,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25015.25,46,6,7,0.0055,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.95,47,6,8,0.0425,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.2,48,7,1,0.035,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25016.15,49,7,2,0.0145,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25017.75,50,7,3,0.0305,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.2,51,7,4,0.035,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25017.95,52,7,5,0.0325,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.1,54,7,7,0.034,58
20250818-165900,25,025.csv,5,25014.7,25114.65,25018.75,55,7,8,0.0405,58
