timestamp,file_num,filename,event_id,start_time,end_time,trigger_time,channel,grid_row,grid_col,time_proportion,active_channels
20250818-165900,21,021.csv,1,6699.75,6799.7,6699.85,30,4,7,0.001,3
20250818-165900,21,021.csv,1,6699.75,6799.7,6699.75,31,4,8,0.0,3
20250818-165900,21,021.csv,1,6699.75,6799.7,6699.9,38,5,7,0.0015,3
20250818-165900,21,021.csv,2,8637.5,8737.45,8637.5,39,5,8,0.0,2
20250818-165900,21,021.csv,2,8637.5,8737.45,8676.95,40,6,1,0.3945,2
20250818-165900,21,021.csv,3,14684.9,14784.85,14684.9,31,4,8,0.0,2
20250818-165900,21,021.csv,3,14684.9,14784.85,14684.95,39,5,8,0.0005,2
20250818-165900,21,021.csv,4,21310.9,21410.85,21310.9,2,1,3,0.0,3
20250818-165900,21,021.csv,4,21310.9,21410.85,21310.9,4,1,5,0.0,3
20250818-165900,21,021.csv,4,21310.9,21410.85,21312.1,21,3,6,0.012,3
20250818-165900,21,021.csv,5,25121.8,25221.75,25121.85,30,4,7,0.0005,5
20250818-165900,21,021.csv,5,25121.8,25221.75,25121.8,31,4,8,0.0,5
20250818-165900,21,021.csv,5,25121.8,25221.75,25178.3,36,5,5,0.565,5
20250818-165900,21,021.csv,5,25121.8,25221.75,25121.85,38,5,7,0.0005,5
20250818-165900,21,021.csv,5,25121.8,25221.75,25121.85,39,5,8,0.0005,5
20250818-165900,21,021.csv,6,37278.55,37378.5,37280.75,3,1,4,0.022,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37285.25,6,1,7,0.067,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37285.25,10,2,3,0.067,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37285.2,14,2,7,0.0665,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37278.9,16,3,1,0.0035,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37279.05,19,3,4,0.005,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37279.05,20,3,5,0.005,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37285.9,25,4,2,0.0735,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37279.4,27,4,4,0.0085,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37321.75,31,4,8,0.432,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37278.95,32,5,1,0.004,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37278.7,33,5,2,0.0015,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37278.55,34,5,3,0.0,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37280.6,35,5,4,0.0205,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37279.5,37,5,6,0.0095,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37342.35,38,5,7,0.638,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37285.25,39,5,8,0.067,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37285.85,42,6,3,0.073,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37285.85,45,6,6,0.073,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37342.7,47,6,8,0.6415,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37285.85,48,7,1,0.073,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37281.8,51,7,4,0.0325,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37282.4,57,8,2,0.0385,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37278.65,59,8,4,0.001,25
20250818-165900,21,021.csv,6,37278.55,37378.5,37282.45,60,8,5,0.039,25
20250818-165900,21,021.csv,7,37712.25,37812.2,37712.25,39,5,8,0.0,2
20250818-165900,21,021.csv,7,37712.25,37812.2,37737.9,59,8,4,0.2565,2
20250818-165900,21,021.csv,8,40537.4,40637.35,40537.4,31,4,8,0.0,3
20250818-165900,21,021.csv,8,40537.4,40637.35,40538.0,47,6,8,0.006,3
20250818-165900,21,021.csv,8,40537.4,40637.35,40538.25,55,7,8,0.0085,3
20250818-165900,21,021.csv,9,43102.9,43202.85,43102.9,36,5,5,0.0,2
20250818-165900,21,021.csv,9,43102.9,43202.85,43200.75,60,8,5,0.9785,2
20250818-165900,21,021.csv,10,43687.85,43787.8,43702.85,31,4,8,0.15,2
20250818-165900,21,021.csv,10,43687.85,43787.8,43687.85,57,8,2,0.0,2
20250818-165900,21,021.csv,11,44065.6,44165.55,44065.6,31,4,8,0.0,2
20250818-165900,21,021.csv,11,44065.6,44165.55,44084.8,38,5,7,0.192,2
20250818-165900,21,021.csv,12,51378.45,51478.4,51378.5,30,4,7,0.0005,5
20250818-165900,21,021.csv,12,51378.45,51478.4,51378.5,31,4,8,0.0005,5
20250818-165900,21,021.csv,12,51378.45,51478.4,51378.45,38,5,7,0.0,5
20250818-165900,21,021.csv,12,51378.45,51478.4,51378.55,39,5,8,0.001,5
20250818-165900,21,021.csv,12,51378.45,51478.4,51378.55,47,6,8,0.001,5
