timestamp,file_num,filename,event_id,start_time,end_time,trigger_time,channel,grid_row,grid_col,time_proportion,active_channels
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.6,2,1,3,0.027,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5358.3,3,1,4,0.004,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5371.75,4,1,5,0.1385,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.7,5,1,6,0.028,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5385.15,6,1,7,0.2725,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.55,10,2,3,0.0265,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5358.0,12,2,5,0.001,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5358.05,20,3,5,0.0015,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.65,23,3,8,0.0275,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5358.1,25,4,2,0.002,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5359.0,27,4,4,0.011,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.3,28,4,5,0.024,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5358.25,31,4,8,0.0035,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.75,32,5,1,0.0285,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.8,33,5,2,0.029,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.55,34,5,3,0.0265,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.7,39,5,8,0.028,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.55,40,6,1,0.0265,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.55,41,6,2,0.0265,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.55,42,6,3,0.0265,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.55,44,6,5,0.0265,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5357.9,45,6,6,0.0,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5378.5,46,6,7,0.206,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.55,48,7,1,0.0265,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5384.25,49,7,2,0.2635,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.55,50,7,3,0.0265,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.5,51,7,4,0.026,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.75,52,7,5,0.0285,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.55,53,7,6,0.0265,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.5,54,7,7,0.026,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.5,57,8,2,0.026,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.2,58,8,3,0.023,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.2,60,8,5,0.023,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.65,61,8,6,0.0275,35
20250818-165900,17,017.csv,1,5357.9,5457.85,5360.6,62,8,7,0.027,35
20250818-165900,17,017.csv,2,6032.15,6132.1,6074.85,14,2,7,0.427,4
20250818-165900,17,017.csv,2,6032.15,6132.1,6058.5,15,2,8,0.2635,4
20250818-165900,17,017.csv,2,6032.15,6132.1,6058.6,36,5,5,0.2645,4
20250818-165900,17,017.csv,2,6032.15,6132.1,6032.15,39,5,8,0.0,4
20250818-165900,17,017.csv,3,15699.2,15799.15,15699.25,30,4,7,0.0005,2
20250818-165900,17,017.csv,3,15699.2,15799.15,15699.2,31,4,8,0.0,2
20250818-165900,17,017.csv,4,18846.85,18946.8,18846.85,39,5,8,0.0,2
20250818-165900,17,017.csv,4,18846.85,18946.8,18861.55,57,8,2,0.147,2
20250818-165900,17,017.csv,5,22667.8,22767.75,22667.85,20,3,5,0.0005,5
20250818-165900,17,017.csv,5,22667.8,22767.75,22667.8,27,4,4,0.0,5
20250818-165900,17,017.csv,5,22667.8,22767.75,22667.8,31,4,8,0.0,5
20250818-165900,17,017.csv,5,22667.8,22767.75,22724.45,38,5,7,0.5665,5
20250818-165900,17,017.csv,5,22667.8,22767.75,22717.65,39,5,8,0.4985,5
20250818-165900,17,017.csv,6,30150.9,30250.85,30154.5,6,1,7,0.036,6
20250818-165900,17,017.csv,6,30150.9,30250.85,30152.6,10,2,3,0.017,6
20250818-165900,17,017.csv,6,30150.9,30250.85,30154.45,27,4,4,0.0355,6
20250818-165900,17,017.csv,6,30150.9,30250.85,30150.9,34,5,3,0.0,6
20250818-165900,17,017.csv,6,30150.9,30250.85,30153.15,45,6,6,0.0225,6
20250818-165900,17,017.csv,6,30150.9,30250.85,30151.4,48,7,1,0.005,6
20250818-165900,17,017.csv,7,34554.7,34654.65,34554.7,31,4,8,0.0,4
20250818-165900,17,017.csv,7,34554.7,34654.65,34574.55,38,5,7,0.1985,4
20250818-165900,17,017.csv,7,34554.7,34654.65,34574.45,39,5,8,0.1975,4
20250818-165900,17,017.csv,7,34554.7,34654.65,34572.2,59,8,4,0.175,4
20250818-165900,17,017.csv,8,38650.25,38750.2,38701.15,14,2,7,0.509,3
20250818-165900,17,017.csv,8,38650.25,38750.2,38650.25,31,4,8,0.0,3
20250818-165900,17,017.csv,8,38650.25,38750.2,38652.55,47,6,8,0.023,3
20250818-165900,17,017.csv,9,52298.6,52398.55,52315.05,31,4,8,0.1645,2
20250818-165900,17,017.csv,9,52298.6,52398.55,52298.6,39,5,8,0.0,2
20250818-165900,17,017.csv,10,53461.75,53561.7,53461.75,31,4,8,0.0,2
20250818-165900,17,017.csv,10,53461.75,53561.7,53461.75,39,5,8,0.0,2
20250818-165900,17,017.csv,11,56322.4,56422.35,56325.1,3,1,4,0.027,22
20250818-165900,17,017.csv,11,56322.4,56422.35,56325.7,9,2,2,0.033,22
20250818-165900,17,017.csv,11,56322.4,56422.35,56323.0,10,2,3,0.006,22
20250818-165900,17,017.csv,11,56322.4,56422.35,56325.05,11,2,4,0.0265,22
20250818-165900,17,017.csv,11,56322.4,56422.35,56325.05,14,2,7,0.0265,22
20250818-165900,17,017.csv,11,56322.4,56422.35,56322.4,20,3,5,0.0,22
20250818-165900,17,017.csv,11,56322.4,56422.35,56325.5,25,4,2,0.031,22
20250818-165900,17,017.csv,11,56322.4,56422.35,56324.3,27,4,4,0.019,22
20250818-165900,17,017.csv,11,56322.4,56422.35,56327.4,30,4,7,0.05,22
20250818-165900,17,017.csv,11,56322.4,56422.35,56363.2,31,4,8,0.408,22
20250818-165900,17,017.csv,11,56322.4,56422.35,56322.45,32,5,1,0.0005,22
20250818-165900,17,017.csv,11,56322.4,56422.35,56322.5,33,5,2,0.001,22
20250818-165900,17,017.csv,11,56322.4,56422.35,56324.95,37,5,6,0.0255,22
20250818-165900,17,017.csv,11,56322.4,56422.35,56362.15,38,5,7,0.3975,22
20250818-165900,17,017.csv,11,56322.4,56422.35,56324.45,39,5,8,0.0205,22
20250818-165900,17,017.csv,11,56322.4,56422.35,56323.85,41,6,2,0.0145,22
