timestamp,file_num,filename,event_id,start_time,end_time,trigger_time,channel,grid_row,grid_col,time_proportion,active_channels
20250818-165900,9,009.csv,1,189079.45,189179.4,189079.45,23,3,8,0.0,2
20250818-165900,9,009.csv,1,189079.45,189179.4,189166.25,45,6,6,0.868,2
20250818-165900,9,009.csv,2,191567.05,191667.0,191644.25,10,2,3,0.772,2
20250818-165900,9,009.csv,2,191567.05,191667.0,191567.05,33,5,2,0.0,2
20250818-165900,9,009.csv,3,236302.5,236402.45,236302.5,28,4,5,0.0,2
20250818-165900,9,009.csv,3,236302.5,236402.45,236305.25,58,8,3,0.0275,2
