event_id,start_time,end_time,trigger_time,time_proportion,channel,grid_row,grid_col
1,272.75,274.7,272.75,0.0,41,5,1
2,797.1,799.05,797.1,0.0,59,7,3
3,830.75,832.7,830.75,0.0,38,4,6
3,830.75,832.7,830.75,0.0,39,4,7
4,850.5,852.45,850.55,0.025,30,3,6
4,850.5,852.45,850.5,0.0,31,3,7
4,850.5,852.45,850.55,0.025,38,4,6
4,850.5,852.45,850.55,0.025,39,4,7
5,905.45,907.4,907.0,0.775,0,0,0
5,905.45,907.4,905.8,0.175,2,0,2
5,905.45,907.4,905.8,0.175,5,0,5
5,905.45,907.4,905.8,0.175,6,0,6
5,905.45,907.4,905.7,0.125,7,0,7
5,905.45,907.4,907.0,0.775,8,1,0
5,905.45,907.4,906.1,0.325,9,1,1
5,905.45,907.4,906.7,0.625,10,1,2
5,905.45,907.4,906.3,0.425,11,1,3
5,905.45,907.4,905.9,0.225,14,1,6
5,905.45,907.4,905.9,0.225,15,1,7
5,905.45,907.4,906.25,0.4,16,2,0
5,905.45,907.4,905.7,0.125,19,2,3
5,905.45,907.4,905.45,0.0,24,3,0
5,905.45,907.4,906.1,0.325,25,3,1
5,905.45,907.4,905.55,0.05,27,3,3
5,905.45,907.4,906.1,0.325,28,3,4
5,905.45,907.4,905.85,0.2,31,3,7
5,905.45,907.4,905.95,0.25,32,4,0
5,905.45,907.4,905.75,0.15,33,4,1
5,905.45,907.4,905.8,0.175,34,4,2
5,905.45,907.4,907.15,0.85,36,4,4
5,905.45,907.4,906.1,0.325,38,4,6
5,905.45,907.4,906.1,0.325,39,4,7
5,905.45,907.4,905.8,0.175,40,5,0
5,905.45,907.4,906.85,0.7,44,5,4
5,905.45,907.4,907.2,0.875,46,5,6
5,905.45,907.4,906.1,0.325,48,6,0
5,905.45,907.4,906.1,0.325,49,6,1
5,905.45,907.4,906.25,0.4,50,6,2
5,905.45,907.4,906.15,0.35,51,6,3
5,905.45,907.4,907.05,0.8,61,7,5
6,907.5,909.45,907.5,0.0,0,0,0
6,907.5,909.45,908.05,0.275,8,1,0
6,907.5,909.45,907.8,0.15,27,3,3
6,907.5,909.45,907.75,0.125,34,4,2
6,907.5,909.45,907.5,0.0,40,5,0
7,913.75,915.7,915.7,0.975,6,0,6
7,913.75,915.7,915.7,0.975,10,1,2
7,913.75,915.7,914.8,0.525,15,1,7
7,913.75,915.7,914.85,0.55,19,2,3
7,913.75,915.7,914.75,0.5,20,2,4
7,913.75,915.7,914.85,0.55,25,3,1
7,913.75,915.7,914.7,0.475,27,3,3
7,913.75,915.7,914.95,0.6,28,3,4
7,913.75,915.7,915.0,0.625,29,3,5
7,913.75,915.7,914.85,0.55,32,4,0
7,913.75,915.7,914.35,0.3,33,4,1
7,913.75,915.7,915.25,0.75,34,4,2
7,913.75,915.7,914.95,0.6,40,5,0
7,913.75,915.7,915.0,0.625,42,5,2
7,913.75,915.7,914.25,0.25,45,5,5
7,913.75,915.7,913.75,0.0,46,5,6
7,913.75,915.7,915.7,0.975,50,6,2
7,913.75,915.7,915.7,0.975,51,6,3
7,913.75,915.7,915.7,0.975,52,6,4
7,913.75,915.7,914.85,0.55,55,6,7
8,915.75,917.7,916.15,0.2,2,0,2
8,915.75,917.7,915.8,0.025,4,0,4
8,915.75,917.7,915.8,0.025,5,0,5
8,915.75,917.7,915.75,0.0,6,0,6
8,915.75,917.7,916.25,0.25,7,0,7
8,915.75,917.7,915.75,0.0,10,1,2
8,915.75,917.7,915.75,0.0,14,1,6
8,915.75,917.7,916.15,0.2,19,2,3
8,915.75,917.7,915.75,0.0,27,3,3
8,915.75,917.7,915.75,0.0,29,3,5
8,915.75,917.7,915.75,0.0,32,4,0
8,915.75,917.7,915.75,0.0,33,4,1
8,915.75,917.7,915.75,0.0,34,4,2
8,915.75,917.7,915.75,0.0,37,4,5
8,915.75,917.7,915.75,0.0,38,4,6
8,915.75,917.7,915.75,0.0,40,5,0
8,915.75,917.7,915.8,0.025,42,5,2
8,915.75,917.7,916.0,0.125,44,5,4
8,915.75,917.7,915.75,0.0,45,5,5
8,915.75,917.7,915.75,0.0,46,5,6
8,915.75,917.7,915.9,0.075,51,6,3
8,915.75,917.7,916.15,0.2,52,6,4
8,915.75,917.7,915.75,0.0,54,6,6
8,915.75,917.7,915.85,0.05,55,6,7
8,915.75,917.7,916.1,0.175,57,7,1
8,915.75,917.7,916.0,0.125,60,7,4
9,921.65,923.6,921.65,0.0,27,3,3
10,925.25,927.2,927.05,0.9,1,0,1
10,925.25,927.2,925.35,0.05,5,0,5
10,925.25,927.2,926.9,0.825,24,3,0
10,925.25,927.2,926.8,0.775,25,3,1
10,925.25,927.2,925.25,0.0,26,3,2
10,925.25,927.2,925.3,0.025,27,3,3
10,925.25,927.2,926.05,0.4,32,4,0
10,925.25,927.2,926.05,0.4,41,5,1
10,925.25,927.2,926.9,0.825,45,5,5
10,925.25,927.2,927.0,0.875,49,6,1
10,925.25,927.2,926.9,0.825,52,6,4
10,925.25,927.2,927.2,0.975,55,6,7
11,927.35,929.3,927.4,0.025,1,0,1
11,927.35,929.3,927.45,0.05,11,1,3
11,927.35,929.3,927.55,0.1,24,3,0
11,927.35,929.3,927.5,0.075,25,3,1
11,927.35,929.3,927.35,0.0,27,3,3
11,927.35,929.3,927.55,0.1,32,4,0
11,927.35,929.3,927.55,0.1,40,5,0
11,927.35,929.3,927.6,0.125,41,5,1
11,927.35,929.3,927.35,0.0,45,5,5
11,927.35,929.3,927.55,0.1,52,6,4
11,927.35,929.3,927.55,0.1,55,6,7
11,927.35,929.3,927.95,0.3,62,7,6
12,931.7,933.65,931.7,0.0,0,0,0
12,931.7,933.65,933.65,0.975,2,0,2
12,931.7,933.65,933.6,0.95,3,0,3
12,931.7,933.65,933.55,0.925,4,0,4
12,931.7,933.65,933.65,0.975,5,0,5
12,931.7,933.65,933.0,0.65,7,0,7
12,931.7,933.65,933.5,0.9,14,1,6
12,931.7,933.65,933.5,0.9,16,2,0
12,931.7,933.65,933.6,0.95,19,2,3
12,931.7,933.65,933.6,0.95,21,2,5
12,931.7,933.65,932.95,0.625,23,2,7
12,931.7,933.65,933.15,0.725,24,3,0
12,931.7,933.65,933.35,0.825,25,3,1
12,931.7,933.65,933.6,0.95,26,3,2
12,931.7,933.65,933.45,0.875,27,3,3
12,931.7,933.65,933.65,0.975,30,3,6
12,931.7,933.65,933.5,0.9,32,4,0
12,931.7,933.65,933.2,0.75,42,5,2
12,931.7,933.65,933.5,0.9,44,5,4
12,931.7,933.65,933.5,0.9,50,6,2
12,931.7,933.65,933.55,0.925,54,6,6
12,931.7,933.65,933.45,0.875,60,7,4
12,931.7,933.65,933.65,0.975,61,7,5
12,931.7,933.65,933.55,0.925,62,7,6
13,933.7,935.65,933.75,0.025,0,0,0
13,933.7,935.65,933.7,0.0,1,0,1
13,933.7,935.65,933.7,0.0,3,0,3
13,933.7,935.65,933.75,0.025,7,0,7
13,933.7,935.65,933.75,0.025,14,1,6
13,933.7,935.65,933.75,0.025,25,3,1
13,933.7,935.65,933.75,0.025,42,5,2
13,933.7,935.65,933.75,0.025,53,6,5
14,938.1,940.05,938.1,0.0,27,3,3
14,938.1,940.05,938.1,0.0,42,5,2
14,938.1,940.05,938.15,0.025,54,6,6
14,938.1,940.05,938.75,0.325,62,7,6
15,1033.2,1035.15,1033.2,0.0,10,1,2
16,2813.95,2815.9,2813.95,0.0,2,0,2
17,4250.25,4252.2,4250.25,0.0,13,1,5
18,4292.5,4294.45,4292.5,0.0,13,1,5
19,6633.0,6634.95,6633.0,0.0,1,0,1
20,8016.6,8018.55,8016.6,0.0,30,3,6
20,8016.6,8018.55,8016.8,0.1,36,4,4
21,10866.5,10868.45,10866.5,0.0,31,3,7
21,10866.5,10868.45,10866.6,0.05,38,4,6
21,10866.5,10868.45,10866.6,0.05,39,4,7
22,11081.2,11083.15,11081.2,0.0,38,4,6
23,12038.85,12040.8,12038.85,0.0,5,0,5
24,18042.95,18044.9,18042.95,0.0,5,0,5
24,18042.95,18044.9,18042.95,0.0,10,1,2
24,18042.95,18044.9,18042.95,0.0,20,2,4
25,19320.45,19322.4,19320.45,0.0,31,3,7
25,19320.45,19322.4,19320.45,0.0,38,4,6
25,19320.45,19322.4,19320.55,0.05,39,4,7
26,20198.9,20200.85,20198.9,0.0,31,3,7
27,20202.6,20204.55,20203.95,0.675,30,3,6
27,20202.6,20204.55,20202.6,0.0,31,3,7
27,20202.6,20204.55,20202.6,0.0,38,4,6
28,20210.7,20212.65,20210.7,0.0,31,3,7
29,20368.6,20370.55,20368.6,0.0,11,1,3
30,22210.1,22212.05,22210.1,0.0,19,2,3
31,22905.35,22907.3,22905.35,0.0,5,0,5
31,22905.35,22907.3,22905.45,0.05,16,2,0
31,22905.35,22907.3,22905.4,0.025,23,2,7
31,22905.35,22907.3,22905.4,0.025,27,3,3
31,22905.35,22907.3,22905.5,0.075,34,4,2
31,22905.35,22907.3,22905.45,0.05,36,4,4
31,22905.35,22907.3,22907.05,0.85,48,6,0
31,22905.35,22907.3,22905.45,0.05,49,6,1
32,22907.65,22909.6,22907.65,0.0,34,4,2
32,22907.65,22909.6,22907.75,0.05,44,5,4
32,22907.65,22909.6,22907.65,0.0,45,5,5
32,22907.65,22909.6,22907.65,0.0,48,6,0
32,22907.65,22909.6,22907.65,0.0,49,6,1
32,22907.65,22909.6,22907.65,0.0,50,6,2
33,22909.65,22911.6,22910.8,0.575,0,0,0
33,22909.65,22911.6,22911.25,0.8,1,0,1
33,22909.65,22911.6,22911.0,0.675,2,0,2
33,22909.65,22911.6,22910.6,0.475,3,0,3
33,22909.65,22911.6,22911.0,0.675,4,0,4
33,22909.65,22911.6,22910.4,0.375,5,0,5
33,22909.65,22911.6,22910.8,0.575,8,1,0
33,22909.65,22911.6,22910.1,0.225,9,1,1
33,22909.65,22911.6,22911.0,0.675,10,1,2
33,22909.65,22911.6,22910.6,0.475,11,1,3
33,22909.65,22911.6,22910.6,0.475,12,1,4
33,22909.65,22911.6,22911.05,0.7,15,1,7
33,22909.65,22911.6,22910.8,0.575,16,2,0
33,22909.65,22911.6,22910.5,0.425,19,2,3
33,22909.65,22911.6,22910.75,0.55,20,2,4
33,22909.65,22911.6,22911.35,0.85,22,2,6
33,22909.65,22911.6,22911.1,0.725,23,2,7
33,22909.65,22911.6,22910.6,0.475,24,3,0
